ID,Left eye tracking error degrees,Right eye tracking error degrees,Age years,Inter pupillary distance mm,Gender,Eye colour,Skin tone,Ethnic background,Makeup,Dominant eye,Eyewear type,Eyewear lens type,Eyewear frame type,Eyewear frame thickness,Eyewear lens height,Eyewear coating anti-reflective,Eyewear coating anti-scratch,Eyewear coating anti-fog,Eyewear coating anti-UV,Eyewear coating anti-smudge,Eyewear coating blue-filter
ID0810,0.6913625,0.555856,55,69.5,male,blue-green,light,europe,no makeup,right,Eyeglasses,Single-vision,Full,Narrow,Low,Yes,,,,,
ID0811,1.097395,0.516776,59,69,male,green,light,europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0812,1.677495,1.094385,54,63,female,blue-gray,light,Europe,no makeup,left,Eyeglasses,Bifocals,Full,Narrow,Normal,No,No,No,No,No,No
ID0813,0.978952,0.636987,59,62,female,blue,light,Europe,no makeup,left,Eyeglasses,Bifocals,Full,Medium,Normal,,,,,,
ID0814,0.8921605,0.8670085,41,67.5,male,blue-gray,light,europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0815,1.00396,0.4802365,25,60.5,female,brown,light,East Asia,no makeup,right,Eyeglasses,Single-vision,Full,Medium,Normal,No,No,No,No,No,No
ID0816,0.539352,1.23452,23,65,male,green,Light,Europe,no makeup,left,Eyeglasses,Single-vision,Full,Narrow,Low,No,No,No,No,No,No
ID0817,1.170255,0.951851,26,69,male,brown,light,South Asia,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0818,0.4917075,0.9608095,37,70,male,dark brown,medium,Middle-East,no makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0819,0.7603605,0.8661995,28,63.5,female,green/brown,light,Middle-East,light eye-makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0820,0.6922585,0.7034675,42,70,male,brown,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0841,0.69632,0.5234385,29,65,male ,blue,light,EUrope,no makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0843,0.7373765,0.953191,19,63.5,female,brown,medium,East Asia,light eye-makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0844,1.10903,1.22389,47,73,male,gray,light,Europe,no makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0901,0.6953375,1.02905,25,71,Male,Brown,Dark,Horn and Sub Saharan Africa,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0904,0.64544,0.827568,50,70.5,male,blue,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0905,0.729412,0.7516755,35,63,male,gray-blue,light,Europe,no makeup,left,Eyeglasses,Single-vision,Full,Narrow,Normal,Yes,Yes,,,,
ID0906,1.29589,0.553244,25,63,female,gray-blue,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0907,0.743549,0.765244,38,61.5,male,gray-blue,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0908,1.046005,1.020634,42,62,male,brown,light,East Asia,no makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0909,0.929265,0.9223075,34,67.5,male,brown,light,Europe,no makeup,right,Eyeglasses,Single-vision,Rimless,No-frame,Normal,Yes,Yes,,Yes,,Yes
ID0910,0.6208955,0.955267,24,65.5,male,black,medium,South Asia,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0911,0.869135,0.904986,21,65.5,female,greenish brown,light,Europe,no makeup,right,Contacts,Contacts,Contacts,Contacts,Contacts,No,No,No,No,No,No
ID0912,1.380965,0.730701,58,68.5,male,blue-gray,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0913,1.220185,1.05162,31,63,female,greenish brown,light,europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0914,1.35244,1.94458,28,60,female,brown,light,Middle East,no makeup,right,Eyeglasses,Single-vision,Full,Medium,Normal,No,No,No,No,No,No
ID0915,0.7136225,0.627283,35,63,male,brown,medium,South Asia,no makeup,right,Eyeglasses,Single-vision,Full,Medium,Low,Yes,,,,,Yes
ID0916,0.8345545,0.7331185,26,64,male,green,light,Europe,no makeup,left,Eyeglasses,Single-vision,Full,Narrow,Low,,,,,,
ID0917,0.6875745,0.6877705,37,65,male,blue,light,Europe,no makeup,right,Eyeglasses,Single-vision,Full,Medium,Normal,No,No,No,No,No,No
ID0918,2.499505,2.86583,20,67,male,brown,medium,Middle East,no makeup,right,Eyeglasses,Single-vision,Full,Narrow,Normal,Yes,,,,,
ID0919,0.889376,0.7166905,30,61,Female,blue-green,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0920,0.5307105,0.7510105,23,66.5,Female,brown,medium,East Asia,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0921,0.767641,0.867451,24,65,female,black,dark,Horn & Sub-Saharan Africa,no makeup,right,Eyeglasses,Single-vision,Semi-rimless,Medium,Normal,No,No,No,No,No,No
ID0922,0.3633995,0.539479,29,73.5,male,green,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0923,1.097775,1.390875,31,64.5,male,green,light,Europe,no makeup,left,Eyeglasses,Single-vision,Full,Narrow,Low,,,,,,Yes
ID0924,0.775219,1.000751,55,63.5,female,gray-blue,light,Europe,eyelash extensions,Right,Eyeglasses,Bifocals,Full,Narrow,Normal,,Yes,,,,
ID0925,1.17605,1.406455,18,67.5,male,blue,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0926,1.00952,2.92549,59,65,male,green,light,Europe,no makeup,right,Eyeglasses,Bifocals,Full,Medium,Normal,Yes,Yes,,,,
ID0927,1.353695,1.24926,23,62.5,female,blue,light,Europe,eyelash extensions,right,Contacts,Contacts,Contacts,Contacts,Contacts,No,No,No,No,No,No
ID0928,0.853325,0.631598,42,60,female,brown,light,Europe,light eye makeup,right,Contacts,Contacts,Contacts,Contacts,Contacts,No,No,No,No,No,No
ID0929,0.6940625,0.4799755,36,67.5,male,yellow-green-brown,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0930,0.4933885,0.5636825,59,67,male,blue,light,Europe,no makeup,right,Eyeglasses,Bifocals,Semi-rimless,Narrow,Low,No,No,No,No,No,No
ID0931,1.137555,0.945189,23,56.5,female,black,medium,South Asia,no makeup,right,Eyeglasses,Single-vision,Full,Medium,Normal,,,,,,
ID0932,0.6803995,1.537005,29,68.5,male,brown,medium,South Asia,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0933,1.07402,0.49947,58,69.5,male,gray-blue,light,Europe,no makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0934,0.806678,1.06096,21,62.5,male,green,light,Europe,no makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0935,0.594924,0.863289,33,63,male,green,light,Europe,no makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0936,0.9599055,0.9730225,40,61,female,gray-blue,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0937,1.61196,1.34589,56,76,male,brown,light,Europe,no makeup,right,Eyeglasses,Bifocals,Full,Narrow,Low,Yes,Yes,,,,
ID0938,0.5846735,0.7178845,28,67,female,green,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0939,0.8423745,0.3931795,60,69.5,male,blue-gray,light,Europe,no makeup,right,Eyeglasses,Bifocals,Full,Medium,Normal,No,No,No,No,No,No
ID0941,0.8462505,0.897451,34,70,male,brown,dark,Horn & Sub-Saharan Africa,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0942,0.7319795,0.7030875,44,63.5,male,blue-gray,light,europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0943,1.524645,1.130185,41,76.5,male,brown,light,Horn & Sub-Saharan Africa,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
