ID,Left eye tracking error degrees,Right eye tracking error degrees,Age years,Inter pupillary distance mm,Gender,Eye colour,Skin tone,Ethnic background,Makeup,Dominant eye,Eyewear type,Eyewear lens type,Eyewear frame type,Eyewear frame thickness,Eyewear lens height,Eyewear coating anti-reflective,Eyewear coating anti-scratch,Eyewear coating anti-fog,Eyewear coating anti-UV,Eyewear coating anti-smudge,Eyewear coating blue-filter
ID0607,1.198525,0.992016,56,67,Male,Blue,Light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0608,2.8445,1.613945,32,63,female,green ,light,europe,no makeup,right,Eyeglasses,Single-vision,Full,Medium,Low,,,,,Yes,
ID0611,0.8884205,0.590853,44,63.5,male,blue,right,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0612,0.660756,0.6195865,52,74,male,green,light,Europe,no makeup,right,Eyeglasses,Bifocals,Full,Thick,Normal,Yes,Yes,,,,
ID0613,0.7320485,0.456153,44,58,female,blue,right,Europe,light eye makeup,right,Contacts,Contacts,Contacts,Contacts,Contacts,,,,,,
ID0614,1.23828,0.760111,45,66,Male,Grey,light,europe,No makeup,right,Eyeglasses,Single-vision,Full,Medium,Low,Yes,,,,,
ID0615,0.6879005,0.587906,30,62,female,brown,light,Europe,light eye makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0616,0.6154565,0.5361995,20,67.5,female,brown,dark,Horn & Sub-Saharan Africa,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0617,0.479339,0.8380435,58,64.5,male,blue,light,Europe,no makeup,right,Eyeglasses,Trifocal,Semi-rimless,Medium,Normal,No,No,No,No,No,No
ID0618,1.15648,0.8562115,30,61,female,green,light,europe,no makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0619,1.703965,0.5802285,59,68.5,male,blue,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0620,0.477689,1.189145,35,65,Male,Green,Light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0621,2.856835,0.9174265,34,64.5,male,brown,medium,Middle-East,no makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0622,0.695372,0.992171,37,66.5,Male,Blue,light,europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0623,0.7292055,1.25382,36,68,female,brown,light,Europe,no makeup,left,Contacts,Contacts,Contacts,Contacts,Contacts,,,,,,
ID0625,0.6475665,0.705649,49,73,male,blue,light,Europe,no makeup,right,Contacts,Contacts,Contacts,Contacts,Contacts,,,,,,
